id,event_datetime,duration,title,state,created_by_profile_id,price_per_person,city,created_at,event_type,area_code,uuid,total_paid,event_date,event_time,reservations_total,reservations_accepted_total,reservations_rejected_total,reservations_pending_total,guests_total,guests_accepted,guests_rejected,guests_pending,monetization_calculation,community_dinner
1608,,12600,Shabbat Next Dor - Pool BBQ,published,7713,,,09:38.4,public,OTHER,21f2a9b3-8f9b-4c60-86ff-cda73a02e321,0,7/22/2016,19:30:00,16,16,0,0,17,17,0,0,t,f
1549,7/23/2016 1:00,10800,Holly's house warming Shabbat,published,415,,,19:24.4,manual_approval,SF,5447a333-d62b-4c04-b240-7337a867b52d,0,7/22/2016,18:00:00,17,17,0,0,20,20,0,0,t,f
1748,,57600,Liat's Birthday Shabbat Celebration!,published,584,,,19:04.8,private,OTHER,78b9abbf-a65b-4d8d-acab-991d52da5598,0,7/29/2016,20:00:00,3,0,0,3,4,0,0,4,t,f
1595,,7200,UM...Shabbat,published,4371,,,37:08.5,private,OTHER,b0023c5f-ff54-4196-8df5-798aef4236fb,0,8/5/2016,19:00:00,9,9,0,0,9,9,0,0,t,f
120,5/28/2016 0:00,7200,Test Test,draft,160,,Chicago,19:56.2,public,CHICAGO,2bb1ee82-426f-46f7-b1ee-78482b3426dd,0,5/27/2016,20:00:29,0,0,0,0,0,0,0,0,t,f
1555,,14400,Hanukkah in July,published,2391,,,48:44.1,public,OTHER,9a1f3029-92b7-441b-9569-50b62806133f,0,7/15/2016,20:00:00,9,9,0,0,14,14,0,0,t,f
1246,7/16/2016 0:00,7200,Entrepreneur Shabbat Dinner Series - Season Finale,published,60,,,57:39.9,manual_approval,NY,08a83cfe-8530-4685-be97-486365e5ec20,0,7/15/2016,20:00:00,41,34,7,0,46,37,9,0,t,f
1557,,14400,Ladies Shabbat!,published,7314,,,26:40.3,private,SF,1276a751-aabd-4399-8a86-308e073e137a,0,7/22/2016,19:30:00,10,10,0,0,10,10,0,0,t,f
1694,,12600,Beach Nosh Shabbat,published,2886,,,47:06.0,public,OTHER,b3d348db-43a3-4c72-84cb-45678510db81,0,7/29/2016,17:30:00,43,43,0,0,56,56,0,0,t,f
1609,,10800,Awesome Musical Summer Potluck Picnic Shabbat :),published,1612,,,50:44.5,manual_approval,NY,e6327979-bdd5-40b3-a885-252c0e52b7a0,0,8/5/2016,19:30:00,9,9,0,0,11,11,0,0,t,f
136,3/11/2016 21:30,10800,Shabbat Dinner,published,182,0,New York,14:32.2,manual_approval,NY,dd3b61e6-5a60-4c9b-97ed-cd8ac260589c,0,3/11/2016,16:30:00,1,0,0,1,1,0,0,1,t,f
226,00:07.5,10800,Tax Day Shabbat Dinner,draft,428,,Dallas,50:16.0,public,OTHER,8b78d9a5-cca4-4d04-9729-8a5b9353e94b,0,4/15/2016,20:00:07,0,0,0,0,0,0,0,0,t,f
1877,,14400,August Shabbat in the Sky: Host a table (of up to 12 people),published,2727,3600,,56:38.0,manual_approval,NY,bf5cd6b5-8253-4185-8124-851296d994c7,32400,8/26/2016,18:00:00,10,9,1,0,10,9,1,0,t,f
1519,30:41.9,10800,Shabbat Kallah,published,7219,,,33:36.1,private,NY,042913f5-0055-4ba0-aa8e-879aefa8e5e8,0,7/15/2016,20:30:00,9,9,0,0,11,11,0,0,t,f
1793,,9000,Summer Shabbat BQ,published,514,,,08:53.4,private,NY,0a47fb33-034f-4b0d-a05b-87b632522e93,0,8/5/2016,20:30:00,10,9,1,0,12,11,1,0,t,f
1791,,9000,Jordan's Birthday/MEAT ONLY,published,514,,,31:20.8,private,NY,3892ffcd-f8fa-4e41-bbe2-bbcf406003df,0,8/19/2016,20:30:00,2,1,1,0,2,1,1,0,t,f
2038,,7200,Beef&Beer,published,180,,,38:06.5,manual_approval,NY,4bea7ee2-53ad-40fb-9dcb-2657e8a55995,0,8/19/2016,21:00:00,5,4,0,1,5,4,0,1,t,f
1795,,14400,Shabbat in the Park!,published,1314,,,49:25.7,private,NY,bf12bbbf-c31b-49ea-bc11-203ce73bc7e3,0,8/5/2016,18:00:00,6,6,0,0,10,10,0,0,t,f
171,00:38.7,7200,TEST,draft,113,,Durham,49:59.9,public,OTHER,5749e16c-d971-4de6-a01e-95aec73932c1,0,3/18/2016,19:00:38,0,0,0,0,0,0,0,0,t,f
179,00:44.6,7200,TEST,draft,113,,Durham,39:28.1,public,OTHER,1d28e789-ee91-494d-ae2e-e85007e8bd36,0,3/18/2016,19:00:44,0,0,0,0,0,0,0,0,t,f
1503,8/5/2016 22:30,16200,Shabbat on the Lake!,published,649,,,36:16.9,manual_approval,CHICAGO,faa67221-17c5-4be3-ae3f-aa1b5d5fd45b,0,8/5/2016,17:30:00,9,9,0,0,10,10,0,0,t,f
1531,00:03.2,10800,It's HOT out there!,published,850,,,56:41.7,private,NY,6e376fe6-4040-4d26-be88-abbd71293c1b,0,7/15/2016,19:00:00,5,5,0,0,9,9,0,0,t,f
1750,,12540,Shabbat Dinner,published,601,,,13:30.0,manual_approval,NY,dd4799e1-83a7-4ac1-abec-51dbf3977c12,0,7/29/2016,20:30:00,11,2,0,9,19,2,0,17,t,f
1598,,3600,Tunisian chabbat,published,4827,,,08:48.2,private,SF,e45f0283-0253-4c35-b510-e6c5c9078781,0,7/15/2016,20:00:00,4,4,0,0,6,6,0,0,t,f
1611,,10800,Eddie and Jeremy - Numero Deux,published,900,,,58:40.4,manual_approval,NY,655b6d5d-576e-452b-9dad-388eff20545e,0,7/22/2016,20:30:00,11,8,0,3,12,9,0,3,t,f
1559,,7200,A Midsummer Night's Dream Shabbat Dinner @ Enchanted Forest,published,333,,,16:43.0,manual_approval,SF,916bd8e3-03ce-475d-9d16-0a38015290fd,0,7/22/2016,19:00:00,6,6,0,0,8,8,0,0,t,f
218,00:54.7,9000,Nancy,draft,398,,New York,27:25.6,manual_approval,NY,3327371c-180e-4493-a5b7-2d910158b1dd,0,4/29/2016,19:00:54,0,0,0,0,0,0,0,0,t,f
2041,,10800,End-of-Summer Shabbat,published,9822,,,22:53.2,private,OTHER,b6bd989b-223c-4b55-b817-f4eb64af9eb4,0,8/19/2016,20:00:00,5,5,0,0,5,5,0,0,t,f
1599,,3648,Thai Shabbat,published,1178,,,01:24.3,private,OTHER,f6b736ac-f5f5-4c2b-ad3e-970b531af86d,0,7/15/2016,20:00:00,11,0,0,11,12,0,0,12,t,f
1751,,10800,Sam's Shabbat Dinner,published,5183,,,04:13.3,private,SF,94fb2540-09f1-4bcd-956c-da45953bc6d0,0,7/29/2016,20:30:00,9,9,0,0,9,9,0,0,t,f
1663,,10800,"Jess, Syd & Jen's NYC Adventure Shabbat",published,733,,,55:56.7,private,NY,f6a1314d-ee0e-4a81-8bf2-d4624c5e3133,0,8/26/2016,19:30:00,9,7,0,2,9,7,0,2,t,f
2039,,14400,Amber and Seth's First Shabbat Dinner!,published,4291,,,03:57.2,private,OTHER,fe2672bd-5df7-4e46-a97c-300e47cf7966,0,8/26/2016,19:30:00,6,6,0,0,10,10,0,0,t,f
1798,,14400,Alyssa & Avi's Shabbos Dinner 8/12,published,695,,,14:06.3,private,CHICAGO,1d7794bc-ee99-479f-89f9-2bd2f361098f,0,8/12/2016,20:00:00,11,9,2,0,14,12,2,0,t,f
1752,,80100,Writing Retreat Shabbat Dinner @ Monte Rio,published,1441,,,05:52.6,private,SF,5c8ac427-b33c-4a24-a43c-c8b101c489f4,0,7/29/2016,19:00:00,10,10,0,0,10,10,0,0,t,f
1563,,10800,Mile High Mixology,published,4371,1000,,51:45.9,manual_approval,Colorado,bcc9f475-a5d4-468e-9c1b-b59656283435,35000,8/16/2016,18:00:00,28,27,0,1,37,36,0,1,t,f
1792,,7200,Olympics!,published,536,,,41:39.0,private,OTHER,a20ed246-d0c0-4d1f-858a-18add0b240a7,0,8/5/2016,19:00:00,5,4,0,1,5,4,0,1,t,f
2042,,10800,Lenox Park Shabbat!,published,9827,,,08:13.3,private,OTHER,47303f38-4228-423c-904a-f2a0b965d0fe,0,8/19/2016,19:00:00,2,0,0,2,3,0,0,3,t,f
1664,,9000,Shabat Criollo,published,7956,,,41:58.9,private,NY,1f56bbd4-e27f-4e50-bfc4-98e79486dbe5,0,8/5/2016,20:30:00,10,10,0,0,10,10,0,0,t,f
259,00:02.8,7200,Dinner in Durham,published,113,,Durham,44:26.2,public,OTHER,20a7d5d2-857e-466a-bfeb-50b94f792bea,0,4/8/2016,19:00:02,1,1,0,0,2,2,0,0,t,f
2164,,7200,First shabbat dinner!,published,10598,,,34:03.4,private,NY,7741e05b-d509-41ac-b405-3e375ed3a110,0,9/2/2016,19:00:00,3,2,0,1,3,2,0,1,t,f
1613,,54000,Legion dinner,published,4330,,,10:12.0,private,NY,9ebf1afe-beec-4087-a2f2-333c4585dfe2,0,7/22/2016,21:00:00,10,10,0,0,10,10,0,0,t,f
1496,8/5/2016 22:30,19800,Guests of Shaily @ Shabbat On The Lake,published,3177,,,30:00.5,manual_approval,CHICAGO,4f8399bf-c995-4ced-99ca-5a6e20f3ba4f,0,8/5/2016,17:30:00,5,5,0,0,7,7,0,0,t,f
1755,,6300,Manhattan: Steakhouse Food & Schmooze - Restaurant Week,published,6128,,,20:08.9,private,NY,90f1e4a6-3ec2-4ce6-8692-5fd35769f465,0,8/5/2016,20:45:00,9,9,0,0,10,10,0,0,t,f
1754,,7200,East Meets West Shabbat,published,8510,,,56:11.1,private,SF,0535e222-e545-4acd-9ce0-d826a530af0c,0,7/29/2016,19:00:00,10,10,0,0,12,12,0,0,t,f
269,30:17.9,12600,Friday Night with Friends Shabbat Dinner,published,511,,Brooklyn,42:06.4,private,NY,b3a68648-112d-417f-ab0a-adc22226f0b2,0,3/25/2016,19:30:17,0,0,0,0,0,0,0,0,t,f
3131,,7200,#CookforSyria Shabbat Dinner,draft,,,,36:56.8,private,NY,ba4b5229-18ba-4943-9b49-13939ab845a7,0,11/11/2016,19:00:00,0,0,0,0,0,0,0,0,t,f
1800,,11700,Shabbat Dinner 8.5,published,528,,,50:48.0,private,CHICAGO,3f5aae76-fdbf-447a-b1c5-617463b4dbc8,0,8/5/2016,20:45:00,4,3,0,1,8,5,0,3,t,f
1143,7/23/2016 2:30,10800,Shabbat Dinner,published,3694,,,08:48.8,manual_approval,OTHER,ea1bd617-c3f8-457b-a305-0cdee305ab94,0,7/29/2016,19:30:00,3,0,0,3,4,0,0,4,t,f
1801,,7200,Summer halibut Shabbat cook out,published,133,,,13:12.7,private,OTHER,2a59b691-d0d8-493d-bf36-8e8c6e56fd1a,0,8/5/2016,19:00:00,2,2,0,0,3,3,0,0,t,f
2240,,10800,Brandeis Reunion Shabbat,draft,3965,,,58:03.5,private,NY,de308f25-f0aa-4017-a04e-21bb492e304b,0,9/9/2016,20:00:00,0,0,0,0,0,0,0,0,t,f
2043,,7200,Jackies Roof Top Birthday Shabbat,published,1163,,,45:51.3,private,NY,7aa4fd14-bbd5-4b86-afaa-c5bbcf5e4961,0,8/19/2016,19:00:00,6,6,0,0,9,9,0,0,t,f
1517,7/16/2016 0:30,9000,Sushi and Sake night,published,2994,,,11:17.8,private,OTHER,ac3ea452-169b-4249-b7e6-27b0e68a9b6f,0,7/15/2016,20:30:00,6,6,0,0,10,10,0,0,t,f
1583,,7200,Brannan Shabbat,published,450,,,31:11.9,private,SF,465597f2-3875-40f6-bcfd-d6431cf7ad49,0,7/15/2016,20:00:00,13,13,0,0,13,13,0,0,t,f
298,00:30.3,10800,Jen's Shabbat Seder,published,733,,Chicago,15:53.2,private,CHICAGO,bfcc3e6d-dd44-4195-85e0-281d30ca7517,0,4/8/2016,20:00:30,11,11,0,0,11,11,0,0,t,f
1965,,9900,West Side Dinner Best Side Dinner,published,4589,,,29:55.5,manual_approval,NY,fa11c55b-f95c-4279-be55-95c469456ea1,0,8/12/2016,20:45:00,8,6,0,2,8,6,0,2,t,f
1803,,54000,A Midsummer Night's Shabbat,published,819,,,15:18.8,private,NY,64d365d7-4246-4563-b727-b32908c42cf2,0,8/5/2016,18:00:00,6,6,0,0,9,9,0,0,t,f
1884,,14340,Shabbat feast!,published,6590,,,21:50.6,private,SF,3d592007-d321-43f6-a121-540ed0213de9,0,8/12/2016,20:00:00,10,10,0,0,10,10,0,0,t,f
1600,,16200,National Simplify Your Life Week Shabbat,published,1771,,,19:33.6,private,OTHER,632e0cca-60ea-4c1e-b531-2f309b5f8c3e,0,8/5/2016,18:30:00,14,13,0,1,16,14,0,2,t,f
1804,,7200,Summer Celebration Dinner,published,2997,,,24:00.4,private,NY,1335f898-9de0-4de6-a19d-05841517a647,0,8/5/2016,20:00:00,6,6,0,0,11,11,0,0,t,f
2239,,10800,Brandeis Reunionr Shabbat,draft,3965,,,57:14.9,private,NY,4512fda0-ea81-44e8-b87e-b2f87ce28b23,0,9/9/2016,20:00:00,0,0,0,0,0,0,0,0,t,f
2104,,18000,Shabbat In Denver,published,3198,,,24:41.9,private,Colorado,1e346c30-6467-440e-b2dc-dbe25ad723f1,0,9/9/2016,19:00:00,5,0,0,5,6,0,0,6,t,f
330,00:39.8,7200,shab,draft,834,,BK,58:34.4,public,OTHER,750b0356-14a9-4f67-9bb3-aa5daf89b412,0,4/1/2016,19:00:39,0,0,0,0,0,0,0,0,t,f
1667,,7200,Lets Get Wild Shabbat,published,4502,,,22:24.2,public,SF,dfe9ba51-28ef-4f76-81fc-40333f8079ea,0,7/22/2016,19:00:00,7,7,0,0,8,8,0,0,t,f
1665,,7200,Fire Island Shabbat,published,3649,,,43:50.8,private,NY,074e4faf-7e1b-4931-a72c-1610e49e87b1,0,8/5/2016,19:00:00,10,9,0,1,10,9,0,1,t,f
1584,,14400,shabbat dinner!,published,421,,,52:54.2,manual_approval,NY,aa019ae9-1c50-4e5c-8552-07972fc2a1ff,0,7/15/2016,20:00:00,2,1,0,1,3,1,0,2,t,f
1502,7/15/2016 23:30,19800,Blessings in Astoria - Silent Rave,published,1058,,,21:32.5,private,NY,a57e200f-fec8-4b35-82ca-f58944af866f,0,7/15/2016,20:00:00,12,12,0,0,14,14,0,0,t,f
1808,,7200,ShareShabbat,published,8118,,,56:56.0,private,OTHER,1a5a1103-7c58-4892-bcb4-2ba007906a46,0,8/5/2016,19:30:00,11,9,0,2,11,9,0,2,t,f
1614,,12600,Challah braiding Shabbat,published,4055,,,09:12.1,private,OTHER,f62e6af3-25ca-476d-89d8-cf6773fbe82c,0,7/29/2016,18:30:00,5,5,0,0,12,12,0,0,t,f
1666,,57600,Shabbat Party!,published,7975,,,09:17.9,private,OTHER,78ae9966-e175-4a33-bc88-4663890e8a8e,0,7/22/2016,20:00:00,3,0,0,3,3,0,0,3,t,f
1809,,21600,Shoybass in DC,published,8693,,,03:06.0,private,OTHER,d5228f7e-aacf-4a81-ab6d-de37f4467efd,0,8/5/2016,20:00:00,8,8,0,0,11,11,0,0,t,f
1551,,10800,Shabbes on the Dock of the Bay (River),published,598,,,58:56.5,manual_approval,OTHER,dea6975a-f394-4f2f-8cb5-312004b883c0,0,7/15/2016,18:00:00,5,5,0,0,8,8,0,0,t,f
1587,,10800,Wisco,published,789,,,09:17.1,private,NY,73c2e619-0ecf-471a-a85c-f8bfa7005c1f,0,7/15/2016,19:00:00,10,10,0,0,11,11,0,0,t,f
1806,,3600,My First Shabbat Dinner,published,4442,,,29:31.0,private,NY,30fa6edc-5722-40b6-ab39-ad4d7cc04e33,0,8/5/2016,20:00:00,3,3,0,0,4,4,0,0,t,f
1672,,7200,Pre-DJ Dining,published,125,,,47:58.2,private,NY,a970896b-8995-4fb7-a37a-90c5ae907c11,0,7/29/2016,19:00:00,9,9,0,0,9,9,0,0,t,f
1671,,10800,Ladies' Relax and Recharge Shabbat,published,277,,,30:03.5,private,NY,54548a44-99c1-4854-94b3-b4a60440da4d,0,8/12/2016,19:00:00,6,5,1,0,6,5,1,0,t,f
1805,,5400,Sabrina's Birthday,published,1164,,,10:33.5,private,NY,8a5a1252-7829-4f86-bb0a-1d09a0c0236a,0,8/5/2016,19:30:00,11,9,0,2,13,10,0,3,t,f
1811,,1800,Shabbes Koydeshhhhh,published,6800,,,26:40.8,private,OTHER,c6697c3b-ba3e-4a9c-b5e7-a284c0c11b1d,0,8/5/2016,20:30:00,8,8,0,0,9,9,0,0,t,f
1615,,5400,ENGAJ: Shabbat Dinner,published,5572,,,13:25.8,manual_approval,SF,8ba1f16a-43a2-4b5a-bf30-821f11beebda,0,7/22/2016,19:30:00,26,26,0,0,30,30,0,0,t,f
2167,,10800,Danna Comes Home for Bucky,published,92,,,49:16.5,private,CHICAGO,fcd51760-d77e-46b1-952b-12a9ce43061b,0,9/2/2016,20:00:00,7,7,0,0,8,8,0,0,t,f
1450,30:49.3,10800,Sibling Shabbat!,published,55,,,25:14.0,private,NY,48acdbea-c556-44e0-adc5-70b8469a4689,0,7/15/2016,20:30:00,8,8,0,0,9,9,0,0,t,f
1670,,12600,Ori and Shir come to NYC,published,374,,,14:07.8,private,NY,b18d6d40-9fa4-4c74-9e1a-83ec16ffee47,0,7/22/2016,17:30:00,5,5,0,0,7,7,0,0,t,f
1501,7/16/2016 0:00,14400,Chrisrael14 Reunion,published,2680,,,10:23.3,private,CHICAGO,6c46cc94-954e-405d-97bb-2b9bfe4a20c1,0,7/15/2016,19:00:00,12,11,1,0,12,11,1,0,t,f
1814,,5400,Olympic Kickoff,published,177,,,53:48.3,private,NY,4f779760-6577-43d7-9c8a-2e83ce6e0c13,0,8/5/2016,19:30:00,7,7,0,0,7,7,0,0,t,f
748,00:42.2,7200,Shabbos chametz and not matza,draft,2777,,NYC,41:41.3,private,NY,2403a36a-5ef7-40b1-9bd5-a7dc12b9eee4,0,5/6/2016,19:00:42,0,0,0,0,0,0,0,0,t,f
2047,,7200,Shabbat on My Roof,published,857,,,26:20.9,private,NY,78add325-a6ba-4042-8b5e-697091f401a7,0,8/19/2016,20:00:00,4,1,1,2,5,1,1,3,t,f
1586,,75600,A Very Gooby Shabbat™,published,5998,,,45:18.5,private,NY,b5bb33e4-c078-46ba-98e5-f96611f10f3b,0,7/29/2016,1:00:00,4,4,0,0,4,4,0,0,t,f
1585,,10800,Seattle Shabbat,published,5471,,,25:16.3,private,OTHER,33879297-a02c-4fe9-a85d-2a31d3ca54b8,0,7/29/2016,18:00:00,4,4,0,0,4,4,0,0,t,f
1669,,10800,Conversion Shabbat Dinner,published,2639,,,01:51.2,private,NY,41cf48e5-2414-4aeb-a8ef-ce136b751a88,0,8/12/2016,18:00:00,4,2,0,2,7,4,0,3,t,f
1588,,7200,Cousins Shabbat,published,5748,,,40:29.7,private,NY,9bcc8bc5-5850-4fca-826f-719192d4a0f0,0,8/5/2016,19:00:00,5,5,0,0,5,5,0,0,t,f
1813,,10800,Olympics Opening Ceremony Shabbat!,published,85,,,24:46.5,manual_approval,CHICAGO,62c048ce-91ea-447e-a40c-32143178c1ff,0,8/5/2016,19:00:00,9,9,0,0,12,12,0,0,t,f
2166,,21600,47! Reunion Shabbat,published,10325,,,48:26.5,manual_approval,CHICAGO,011fd292-eb25-4268-b6e3-a4be5d33a7d0,0,9/9/2016,19:00:00,7,7,0,0,8,8,0,0,t,f
2168,,16200,Welcome to Brooklyn Shabbat,published,2440,,,54:06.6,private,NY,3d8e204e-7a2d-4141-810c-be30581bf512,0,9/2/2016,19:30:00,11,11,0,0,12,12,0,0,t,f
1560,,12600,shabbat at sandy's,published,256,,,45:27.5,manual_approval,NY,8c8f5596-ce01-4abf-afd4-49f61912ce81,0,7/15/2016,20:00:00,6,6,0,0,8,8,0,0,t,f
1589,,10800,test,draft,6140,,,47:21.0,private,CHICAGO,ec99ae40-e0c7-4f49-a538-be0c495d66bc,0,7/14/2016,19:00:00,0,0,0,0,0,0,0,0,t,f
1590,,9000,Rooftop Shabbat: Return to the Roof,published,1039,3000,,53:20.2,manual_approval,NY,5bf83925-b57b-4382-b9b0-d0c2ee2a9a7c,0,7/22/2016,21:30:00,0,0,0,0,0,0,0,0,t,f
1816,,15000,shapiro shabbat,published,3634,,,43:08.1,private,NY,cfb09698-05df-4690-8f6e-90032e17418c,0,8/5/2016,19:45:00,9,9,0,0,11,11,0,0,t,f
1018,7/22/2016 22:30,16200,Sushi & Pizza Picnic Shabbat,published,1771,,,02:54.9,private,OTHER,5c948478-6ca2-44a3-a8d1-a3cada618e29,0,7/22/2016,18:30:00,12,12,0,0,15,15,0,0,t,f
1617,,9000,Justice League Shabbat Dinner,published,7123,,,24:00.0,manual_approval,NY,960c5c17-4fac-4da3-a3d5-b542487fe711,0,7/22/2016,20:00:00,10,10,0,0,11,11,0,0,t,f
1759,,12600,14th Street Shabbat,published,8416,,,10:55.6,manual_approval,OTHER,7d3b03fb-6475-42eb-9108-d3297b808703,0,7/29/2016,19:30:00,10,10,0,0,10,10,0,0,t,f
1818,,7200,Big Rock Shabbat,published,7194,,,35:15.1,public,OTHER,cf1775e2-0fad-4c0c-8643-e78c337813bb,0,8/5/2016,18:00:00,3,3,0,0,7,7,0,0,t,f
2169,,47700,Shabs,published,5457,,,32:05.1,private,NY,62b3b70c-4f4c-404a-a1f7-b22c5a3619b5,0,9/2/2016,19:00:00,6,6,0,0,6,6,0,0,t,f
1815,,18000,It's The Olympics,published,993,,,06:27.9,private,NY,d3117135-cb51-43ca-a111-3cea7a4ab804,0,8/5/2016,19:00:00,7,7,0,0,7,7,0,0,t,f
2109,,13500,8/26 Rooftop Meal  (fully booked),published,66,,,37:38.4,manual_approval,NY,34735c9f-feb6-4c4f-ab3d-5d130be20aab,0,8/26/2016,20:15:00,29,26,3,0,38,35,3,0,t,f
1618,,7200,Gabby's Shabbat Dinner,published,7742,,,35:46.4,private,NY,20c906b3-3731-492e-87a3-d7799388f09c,0,7/22/2016,19:00:00,6,0,0,6,7,0,0,7,t,f
2050,,900,Ravinia Shabbat,published,92,,,56:12.6,private,CHICAGO,8cb05013-c019-4a00-a1fb-d7e01b86a8cc,0,8/26/2016,20:00:00,9,7,0,2,9,7,0,2,t,f
1581,,10800,Shabbat in the Sky: Arielle's Table,published,1263,,,37:32.0,private,NY,21029f3d-f720-4408-b722-b87ec8dc3b88,0,7/15/2016,19:00:00,15,15,0,0,21,21,0,0,t,f
382,4/8/2016 23:45,26100,Shabbushwhick,published,1139,,New York,08:31.3,manual_approval,NY,0e244842-16f0-44d4-9a4b-a80ff394626f,0,4/8/2016,19:45:00,9,7,2,0,9,7,2,0,t,f
894,6/11/2016 23:00,7200,Shabbat,draft,111,,,54:22.1,private,NY,7e94c37c-259c-49ad-bd5a-608e37881d1a,0,6/11/2016,19:00:51,0,0,0,0,0,0,0,0,t,f
1817,,16200,Final DC dinner w/ Nookh Schoen,published,6270,,,31:58.0,private,OTHER,97340bf2-6175-408d-a5c2-8068d22f3ea8,0,8/5/2016,19:30:00,6,5,0,1,9,7,0,2,t,f
1760,,9000,Fab City Shabbat Din,published,6809,,,19:35.7,private,NY,25008195-8fc7-4a8e-8b44-4f54fb35ee72,0,7/29/2016,20:30:00,4,2,0,2,4,2,0,2,t,f
1674,,10800,Intimate Backyard Dinner Party,published,1086,,,54:25.2,private,SF,f5432b4d-a56f-47ca-a70d-fd28b3082181,0,7/29/2016,20:00:00,10,9,0,1,11,10,0,1,t,f
1819,,18905,Shabbat Dinner,published,917,,,37:33.9,private,NY,87ddda19-ea05-42ab-b8ec-22cc45bcb489,0,8/5/2016,20:45:00,11,10,0,1,12,11,0,1,t,f
1821,,10800,Dinner,published,5019,,,09:51.1,private,Colorado,544fa482-221f-4445-8586-ae126fa8ca9b,0,8/12/2016,19:00:00,20,20,0,0,21,21,0,0,t,f
2170,,10800,shabs,draft,8920,,,03:55.3,private,OTHER,d064b595-2418-40cf-ac8c-2430fd08953e,0,9/2/2016,20:00:00,0,0,0,0,0,0,0,0,t,f
1594,,10825,Milk + Honey Open Mic Shabbat,published,7359,,,30:29.8,private,SF,fcaf0165-3b26-40ce-9236-a73b326ed609,0,7/22/2016,20:00:00,12,12,0,0,17,17,0,0,t,f
1677,,14400,Dinner with the Wasis!,published,8023,,,12:05.5,private,OTHER,05302b5b-66eb-4ab4-801a-5253cdfa1fa5,0,8/5/2016,19:30:00,3,3,0,0,4,4,0,0,t,f
1820,,5400,Comfort Food,published,2577,,,31:18.4,public,OTHER,673fb8b3-eb0e-420a-9c0d-a8f194445e8e,0,8/5/2016,19:30:00,12,12,0,0,12,12,0,0,t,f
1675,,7200,Tribe Dinner Party,published,1086,,,21:42.1,private,SF,8cb8f038-4d1a-4a6f-b731-bcbbf92a2888,0,8/5/2016,20:00:00,8,6,0,2,8,6,0,2,t,f
2106,,18032,Welcoming French amigos,published,4827,,,04:34.4,private,SF,148bbd1d-5d60-45ff-88de-1c016151607d,0,8/26/2016,20:00:00,9,9,0,0,10,10,0,0,t,f
